S_75_5	S_115_5	S_10_5	S_79_6	S_206_6	S_257_6
cg13871826	0.441584752997249	0.509984706598454	0.603065626617283	0.622515019361632	0.601087517875319	0.476289051145576
cg16474293	0.542043403202193	0.562168765692728	0.535318101159614	0.453885195061854	0.547485909422144	0.293897934638694
cg14463239	0.463894976725325	0.494113734713088	0.174871285135003	0.200563992533872	0.426251973919647	0.293987529343258
cg05301794	0.777608797462538	0.789401614173729	0.875960410509294	0.752145420565985	0.594003103017344	0.465445448386006
cg08829765	0.0609311857368443	0.0706381495301163	0.0570235507594142	0.0431886779592308	0.0535566460644521	0.0972862976657645
cg10855276	0.602099768195906	0.47421705893132	0.674910697758951	0.131573449584483	0.460352468633592	0.146077974412007
cg12406992	0.326265832068925	0.364059880527744	0.291083762308525	0.170689275931223	0.325552749331713	0.198126462319785
cg14370485	0.0647672971364693	0.0559500985221272	0.0439313291391399	0.0542545658525717	0.0521579743930317	0.0795940741086906
cg05493344	0.885306062625266	0.834165016533045	0.89017943252517	0.867208292917059	0.811061076532839	0.838930965304145
cg05650511	0.288091053005736	0.617783985104362	0.77668874607177	0.694363229924913	0.541339830910459	0.32494470981961
cg10136773	0.910334487116024	0.932254406844825	0.933497927013224	0.929916208660424	0.914818549512063	0.831788278490874
cg20725941	0.121618987102962	0.128926997452256	0.0776515142090265	0.148819277913232	0.105722720922152	0.128770045652049
cg08098819	0.60469828122411	0.678122256721476	0.7951472556515	0.591812363570865	0.528505538658725	0.377409497769798
cg15743833	0.0422090946581239	0.0458197401002018	0.0514809855132992	0.0412606192713305	0.0425911939764383	0.0568990889231602
cg01282269	0.525262245238032	0.684355530302973	0.700566505280356	0.252284468962556	0.551243182862546	0.17556503786615
cg23897083	0.452231154355625	0.578331589239001	0.504749425029341	0.184047136996469	0.382322044291212	0.0966032852706557
cg20930040	0.913388883484719	0.920925964534805	0.952565984372485	0.90945388050081	0.870670204610124	0.671408164565002
cg06386634	0.679662118969234	0.867707195261181	0.774271452991543	0.440013525576678	0.857872060961558	0.781166158971296
cg01140522	0.605703066745427	0.556421986217078	0.855535021385224	0.285375462713632	0.702004823071288	0.805507275842671
cg05173528	0.908078462593442	0.869980754696862	0.890071306235711	0.788900952649969	0.87003722570981	0.675617965327749
cg21432842	0.405734405990724	0.266796486804016	0.245644640304105	0.310115734226345	0.37932191375404	0.117400872955586
cg24347498	0.61392232948595	0.572935675222886	0.587843125323598	0.572255501997278	0.252908570292506	0.218037455040315
cg10732921	0.425976170237025	0.19876822204917	0.437034294512888	0.195967950944837	0.448763552257344	0.204264671541076
cg01098981	0.690485660327782	0.683338161012168	0.849465674577319	0.77461444013984	0.679707518113589	0.549727753526767
cg05850769	0.576795031143313	0.559898337765668	0.718920256222672	0.769285493511615	0.66437192725935	0.373720021542833
cg07726959	0.847764137941805	0.735755011963517	0.890733843931438	0.626402745529608	0.842177639296074	0.573858121742822
cg17408660	0.182021939141658	0.158929128823439	0.133033849513851	0.104359265986647	0.171330548962325	0.202463748302715
cg12062270	0.852853976283316	0.837906967358168	0.877520989463382	0.84253713756825	0.715231277644194	0.480018328543484
cg24581795	0.840626155005051	0.891367473538611	0.889706483674942	0.900222086065451	0.792998666417674	0.741502546483466
cg25706713	0.6636066986411	0.832407927940464	0.547825153647062	0.640858402298511	0.400674259061363	0.341005118399631
cg18160831	0.85889148564559	0.876951248093275	0.925723157317928	0.867675573103491	0.87714660730477	0.705132802609787
cg25568397	0.260809495789472	0.300027519763198	0.112486096327866	0.0764409475210964	0.177672011893776	0.105119000883518
cg06964503	0.744898962448624	0.719942689668072	0.505159449893391	0.135047660013381	0.43394636163374	0.188751166234482
cg25361701	0.926873673533769	0.936630867838265	0.931829757115974	0.926408080332954	0.922056714330591	0.861132323744092
cg13702222	0.198131127962043	0.192426986019108	0.109130629384335	0.065396477198033	0.135264466528789	0.106259869900184
cg18548246	0.122306614198997	0.124821456463936	0.0780815160443347	0.088160552838385	0.460075668811726	0.12954260084304
cg21931115	0.471693804564066	0.471666334953412	0.543783141467999	0.419312443068544	0.370831252489238	0.330578655562498
cg12409226	0.0858830984540722	0.0965607251773168	0.0842825529612201	0.0785557073997495	0.0930326035672723	0.0782754446368984
cg10421346	0.606515027587038	0.402280767370263	0.696423897911581	0.837345347660482	0.710577663175317	0.552307342041614
cg10089552	0.892536067294227	0.861909104596737	0.883043479929424	0.750665656096699	0.84211216052959	0.559630229326973
cg02073627	0.305461672222398	0.514838230268324	0.453720353745747	0.215774508854949	0.318229403371777	0.155536901490322
cg13431597	0.847386985417358	0.877642707542093	0.885441705406495	0.850359551717123	0.629461793609745	0.659072172970192
cg07147414	0.580920542536114	0.568306513288888	0.842857262501578	0.226203284914514	0.357253127470587	0.323934770242833
cg25617519	0.777286691884314	0.735552563305794	0.833173883849641	0.776171800365661	0.667542236034285	0.254225251672671
cg16514717	0.918576568653657	0.914733794294599	0.92171137429913	0.918757907021655	0.895267101079076	0.881413840485286
cg02068090	0.0761580151373682	0.0876653438477306	0.366395267301128	0.0499371422726192	0.0394987464034263	0.060298372681594
cg22685502	0.414399708022755	0.544939720432979	0.607471055190477	0.109377673550688	0.25858638387115	0.150306179010176
cg02638655	0.0344401838794575	0.0657602789768537	0.0438850282873377	0.0288442231405949	0.0404616331632957	0.0415827594070762
cg03436892	0.897437084693166	0.880266586524046	0.89741534637273	0.887061877156673	0.858086342292448	0.547681543368375
cg11441173	0.739371587445074	0.852530404806176	0.868617837245008	0.799825050955604	0.781996037870449	0.458127595870284
cg14172094	0.0760710347837266	0.077603923010171	0.0375423001184343	0.0274405873594166	0.0910111325033334	0.124159327491832
cg14120658	0.416114304262221	0.465790790491139	0.142163825451834	0.23818345433118	0.340262886080444	0.114353457430525
cg15376097	0.169013605203838	0.154747917620706	0.407223281653706	0.0862354302148333	0.128566834675077	0.0708710497406809
cg12013871	0.717323855485748	0.762751090488031	0.754020941180191	0.712687520445993	0.823449344528206	0.431793954721187
cg07590135	0.895009697325355	0.895855473206397	0.879174809937473	0.921251620843562	0.89049100253229	0.835644497927919
cg22344912	0.0259835559162955	0.0315653707618409	0.0383848429694104	0.0467416834569053	0.0409005319507785	0.0394912567360472
cg11420685	0.76540593466904	0.785407438629517	0.852221742354581	0.633007122024	0.545645933985826	0.38867149906705
cg00039070	0.888534548444187	0.914868344386682	0.906910433432438	0.8691419998129	0.887396085252515	0.61530103368904
cg20259501	0.36562457355872	0.484234255131154	0.543034809319566	0.29070284006962	0.302700482907197	0.210968860203393
cg24851364	0.0739374254905684	0.0619432787091747	0.0591841766407995	0.0607538743251527	0.103897901961441	0.12968404693099
cg24506916	0.43431040175727	0.458263929243938	0.541743049843216	0.342170770702183	0.364905740217403	0.239894706747521
cg13643060	0.585142552458317	0.775351773596026	0.628901092774782	0.67601973299017	0.791579569072765	0.472435094317488
cg20390814	0.782266078964459	0.850248583662999	0.823952442746679	0.833562672245459	0.837092301103984	0.388478710111744
cg03434319	0.332331348637868	0.400796319151365	0.409859959608024	0.235211924048654	0.217281656405293	0.179165720989194
cg07176589	0.120725512015247	0.107097268987261	0.0783545598318695	0.0911331303506723	0.0953726207724722	0.129375326129784
cg06537454	0.530585584136626	0.637197378909134	0.677314410312237	0.407522650700019	0.546134953044676	0.473362281965652
cg14485407	0.709064518902411	0.726085501184411	0.531496890723647	0.450152308314677	0.54417314031265	0.575356920824922
cg11715623	0.0574545324213114	0.0603625349562825	0.0752833026019123	0.0421038975365581	0.0490437275369763	0.0719759134798237
cg20060284	0.867112977919668	0.859902759074834	0.882219398315741	0.71107968696589	0.84833902210956	0.57838745962829
cg22337977	0.832305044110518	0.864997894583828	0.857292899717181	0.896682467462075	0.802853515747215	0.421648515224788
cg04002950	0.788183350218486	0.66650347851701	0.875918006566844	0.607699589799384	0.541290451005056	0.523275398398468
cg03716619	0.651444183344313	0.805750773917394	0.561474288928099	0.783698053350395	0.784930124382256	0.584557436304248
cg01998051	0.810554632360654	0.853125658058124	0.899076288375071	0.717860623588495	0.756162180541871	0.563379620449966
cg19993487	0.176448562357651	0.209568895922688	0.399499582364165	0.125192659385133	0.202459997845492	0.116804256837544
cg03437204	0.103555770055951	0.0665852902395216	0.0825653882501165	0.0430406928235596	0.04583634767094	0.028925138737891
cg21948301	0.754794833328785	0.91705714749354	0.943576589685107	0.753657130407828	0.807832307076431	0.46786970006942
cg05458295	0.912363923669385	0.8815711352106	0.899590092233484	0.865270122134491	0.923144051734756	0.901143164195677
cg05876918	0.0658816187399792	0.066313280424173	0.0618708719936474	0.0534648662962182	0.103459881153058	0.0942788156247005
cg16515064	0.0546197653146585	0.0857245861949528	0.10592559154553	0.0790035524661384	0.0800334338015559	0.0697992559126235
cg01966076	0.888389143894235	0.892989666111409	0.868724872397234	0.639330327925896	0.826494096202856	0.798268774500583
cg13523652	0.0503079437355607	0.0552792111262302	0.07507592888376	0.0561235980949543	0.0635284880533971	0.0460941373524006
cg19789047	0.47496992446642	0.822350065336749	0.551259353796913	0.808530097185696	0.696758188618439	0.404925891519009
cg10405115	0.639174452358882	0.666393890131166	0.67761922508542	0.705371035781402	0.621466304835311	0.530716360041671
cg19873382	0.035096338014025	0.0642561131577174	0.0575506391206998	0.0420777669944957	0.0448921463539121	0.0458053279930014
cg17021917	0.768974796719402	0.833527530732132	0.873399266698715	0.788302879145975	0.802476354642006	0.404650669727086
cg04982343	0.756030505951799	0.787392736690877	0.837355206559395	0.810549136850462	0.753968487987934	0.429962811967517
cg08792798	0.297489708916654	0.198657663682015	0.0553086274788901	0.0742095315620971	0.108862633592724	0.0641875601868191
cg27308188	0.746443921294546	0.802568893327553	0.788320585340331	0.665708358120972	0.782141552046859	0.530219589231693
cg14139735	0.484784539008574	0.540545052950715	0.399400129729074	0.438763607182549	0.456199174183504	0.276858479642762
cg03548035	0.809493314136211	0.871632639546311	0.853973342362626	0.879070122246517	0.728379485901914	0.804048875769845
cg13807925	0.871030401849065	0.839849900088946	0.914966798743274	0.474904200665998	0.886803310756921	0.652527426782114
cg20974387	0.890783824090702	0.912609406833307	0.905185624081633	0.868640928277135	0.933282772384962	0.893872100579551
cg09948909	0.682913197824698	0.879403760095579	0.878184950025907	0.822982911853289	0.654866571430964	0.398477772249955
cg02102020	0.0596806617060446	0.0687058144486199	0.0572608049642955	0.0434704657270806	0.0386236390182256	0.0542492272606586
cg03739014	0.62242756692251	0.581618228676675	0.666084819894294	0.427672004452314	0.53596507401066	0.330231676150414
cg04405466	0.886643262329776	0.859776443406393	0.895380981145278	0.829629965043904	0.832853428029715	0.707525868749337
cg00982984	0.130580626558354	0.101814001839796	0.0696538726419822	0.0720593440786887	0.0950488361130123	0.143964495588443
cg21952484	0.0676908070547749	0.0699592617498703	0.109263369518901	0.0671839718215768	0.0664118187940595	0.0710664712983708
cg09840155	0.684437933542154	0.770299520135265	0.82096564236131	0.686165040003379	0.64113438719417	0.336776974470959
cg20390681	0.838559952880013	0.79721775186384	0.781781597557922	0.83714819262231	0.771113567548752	0.574856596022479
cg25924761	0.897364817888241	0.906541539343052	0.930127874942264	0.91715664070762	0.916231827440454	0.929737121654923
cg00075608	0.889075057371486	0.895170562982491	0.920629762092898	0.917096624494476	0.895018120498736	0.758874986236376
cg06674009	0.824123589322236	0.728140907959598	0.85827745711842	0.340512751244662	0.81956708187958	0.457774582189062
cg20247596	0.0517322150397522	0.052818531878589	0.050560906597568	0.0425916203351918	0.064105009385726	0.0841398540064846
cg06320334	0.770976225430563	0.831916727498273	0.774680056973636	0.723975104408605	0.469121991228604	0.158192038222576
cg18426033	0.0671013790778771	0.214684240113939	0.0560252413507127	0.0673369897335561	0.0628980793834718	0.0506252688575714
cg04608300	0.844562469663488	0.894528269468961	0.856177101207547	0.574868003049782	0.821581974817401	0.548038023065492
cg07267139	0.37154693951843	0.433184444186435	0.231798591264461	0.224532560376567	0.44896305771959	0.255824485744809
cg14057072	0.884912527957759	0.887627994746068	0.907773861923445	0.877150386354233	0.819723883050735	0.646313329358952
cg00233745	0.310507014255002	0.318690650830079	0.163167637944291	0.238767006562151	0.175242651811357	0.0773653572868767
cg09170686	0.838070345153253	0.867862542595418	0.873710539834645	0.688062883714278	0.782787718066049	0.536944307946669
cg01155927	0.140154849814885	0.142062639780101	0.116089667857092	0.0542608658324017	0.096472163281929	0.128095440118592
cg21262144	0.768116571537851	0.858657046980772	0.877759825254906	0.708541053468827	0.789669799542619	0.601683592495498
cg04226863	0.461930192444809	0.511776009347684	0.17124868651374	0.325372351135932	0.430103997876474	0.231393676891186
cg15734102	0.739369566084733	0.873645801728647	0.898232320360959	0.778700334985505	0.800539012559963	0.309826116974503
cg18617728	0.691953505867495	0.659144059461542	0.826980392268312	0.477505366481996	0.724133452232961	0.439154864378099
cg00657287	0.91347154018419	0.885065526061412	0.914479972106729	0.835331891587835	0.860012242675785	0.68818149501694
cg04957307	0.794718852859556	0.795287122302247	0.852903868665945	0.850516401043701	0.772469215188945	0.653483618009791
cg07281747	0.319957605222196	0.394834540567109	0.67579502926037	0.29982512949867	0.292196898820227	0.204117918556177
cg16017284	0.207147614360174	0.180418812297388	0.0921523295902406	0.118650881514161	0.152856591415946	0.132713965130191
cg25633548	0.926809198139755	0.946277807385101	0.948593827223861	0.948927678096098	0.919389343918098	0.68413881187443
cg01761362	0.744624524097167	0.793408165010906	0.684811900726897	0.829413179232267	0.681500777490855	0.469320599166588
cg03372187	0.0536028141387176	0.0440397234978004	0.0474112587263556	0.0386072429972086	0.0665174670988087	0.0811076999295284
cg13460871	0.531106862056886	0.631804919736276	0.830741683652737	0.773085569315543	0.548329461558859	0.462472085542789
cg03760670	0.846064031064934	0.877067400349702	0.894864159750004	0.884055881301867	0.872793428622814	0.569228857223295
cg21208107	0.865118969162657	0.870335868514516	0.882695177829452	0.748904091411773	0.708109357485235	0.825217339681165
cg25573839	0.869495700989427	0.85532198931232	0.896168175865437	0.883766539330934	0.591008490438725	0.743917503588264
cg23760585	0.805421560050436	0.825968305507639	0.857575753889442	0.676139619684554	0.792759336119467	0.601874135354392
cg13938504	0.896310741299744	0.871490655178593	0.891851767313465	0.378610315287403	0.84801746895868	0.750104206617163
cg07078398	0.626201489993609	0.590016446951218	0.694513571254501	0.530205910307101	0.429776465615184	0.325283756639167
cg01414772	0.853771898492391	0.882197806500152	0.78493386454977	0.71012839314214	0.449274718461831	0.401649291941508
cg23659616	0.389322735516825	0.478189085718513	0.164810233812212	0.234661945374765	0.319621736219201	0.149946895556793
cg01860459	0.629354097181174	0.584325903838289	0.764264198239341	0.546551258326811	0.442056610370302	0.394306717578801
cg14434197	0.861421976002602	0.886474749614538	0.897574905863705	0.735800117494354	0.74745600945338	0.43953381392791
cg04490824	0.707649351749644	0.709507085315988	0.787974015598572	0.620331730009833	0.542344266206544	0.292789266772703
cg17224835	0.819285888754582	0.808507844404878	0.862004360813575	0.849746196907127	0.498039015780582	0.656868532443771
cg23964696	0.847508136157938	0.882252846478553	0.797663126975293	0.798531043607808	0.727407995113169	0.716925547613036
cg07677084	0.169687155329271	0.217961034252714	0.0831530960377471	0.0959073939027471	0.152223090623379	0.136631480147182
cg02713373	0.397301128429061	0.554252348046771	0.351058746043638	0.392205033975217	0.317916273399268	0.199708809818861
cg21630608	0.394126055995374	0.536685022979563	0.771450207283435	0.537285950292192	0.420051463228788	0.845046918408134
cg01631322	0.543350916100397	0.54722465557915	0.422398686910437	0.351790729256424	0.326341955426648	0.606750809346521
cg25771195	0.68354255370961	0.736280306478624	0.836037798130801	0.513373304048347	0.82720515655775	0.767164772588088
cg10630015	0.540472403226269	0.636016987734589	0.517134586842638	0.359828618945889	0.302897389293811	0.167814313415263
cg10873486	0.884321701688919	0.959731866585138	0.9442650048938	0.923166260747872	0.888243240367989	0.780498798551713
cg25553841	0.847341906712926	0.902514697995802	0.900429280624491	0.727055700179825	0.725820111771076	0.787243997781174
cg09717359	0.841242232020863	0.914362233918754	0.92081836609611	0.900975139970646	0.505426319605577	0.702698395980036
cg10331755	0.307149010874757	0.348562694159585	0.14383537924399	0.165910794100048	0.224468750543664	0.103689779841249
cg01808968	0.516847310050415	0.484563674995565	0.693598814613835	0.584068283285209	0.521576846562122	0.197381955027528
cg06130805	0.833128171922668	0.779471574969333	0.81203872146995	0.594223458482688	0.631397352742945	0.283747112644341
cg02157216	0.788094205387889	0.840058741853605	0.864634779534363	0.851326912907667	0.796554825855081	0.471388777104832
cg25894317	0.914479817783256	0.891990087440066	0.882520250663304	0.918591233939749	0.906141308977613	0.660448948209508
cg07911708	0.619110466775191	0.492688929803006	0.695572827340015	0.282374715223221	0.411948808384047	0.380342428321197
cg18527814	0.43113930847704	0.344764273821486	0.700717497702095	0.670509430028305	0.344871686634829	0.482272353959404
cg17652538	0.813367357029815	0.759153583231885	0.857095250238593	0.30019459104603	0.645157011173165	0.225749093959599
cg02965092	0.78186767956043	0.852068713682572	0.891288425351567	0.846321572367315	0.790465876451991	0.669261155416503
cg16682225	0.0911255722960954	0.123871257499953	0.0680671485951054	0.078143115994617	0.123874044462318	0.132713965130191
cg10147507	0.398290148549649	0.343867116503012	0.459432504086651	0.123896691400201	0.186938581885648	0.437251780862875
cg13016797	0.469812538204526	0.482386862957928	0.473858699200081	0.460801456593105	0.297864763160427	0.337509035719285
cg26222125	0.857605941293532	0.837627781487442	0.844103676195974	0.410811653568414	0.63370849848024	0.787233988566932
cg19087038	0.917871533313307	0.880998446550426	0.878970048750798	0.885761851181164	0.887509697127596	0.901682280456512
cg05747357	0.867828286841155	0.680844456840551	0.846192588315233	0.452218990809555	0.807124088657182	0.573633786360675
cg01995086	0.665673094103552	0.683274347013332	0.731383902987519	0.681020798568523	0.354370620128472	0.260124345371603
cg08787332	0.864431570426772	0.922727092069504	0.895482424838956	0.907128116907267	0.821961931847337	0.848342648484
cg07194830	0.805874443233891	0.847783526242078	0.879903634039725	0.818606413809984	0.833043570637801	0.432914892334761
cg20350272	0.738015363101635	0.7177226940422	0.890871653073233	0.570176739049753	0.837343177911299	0.862234529955141
cg05098827	0.831070005958027	0.811702508870788	0.894707575611559	0.795295403119401	0.741555416585844	0.580991828912435
cg16788014	0.484067905480957	0.325524340551258	0.524373027401235	0.187902797356213	0.453538536859837	0.292397496555798
cg13098091	0.862764584944514	0.858900561086567	0.851386187002062	0.579318337254368	0.651602653475708	0.77455693876159
cg18450859	0.865761677789481	0.901422846328504	0.869722850678182	0.903827023945713	0.880158073246082	0.59127682254424
cg24172523	0.620447623887942	0.875873196237827	0.886153810211796	0.700134859556937	0.609303078378913	0.823225336762252
cg06133110	0.1379972270157	0.085760545591161	0.0591376573347702	0.0917205248573778	0.111692174696055	0.120864529977453
cg07433154	0.515859692522846	0.780275330520506	0.799111763522697	0.417644674551857	0.58376713606625	0.505668689743736
cg10394510	0.624272258166622	0.662126178963287	0.824760502584207	0.673444767000592	0.698071840905762	0.322192699738542
cg26550989	0.420707975549139	0.248367208211418	0.675306602630795	0.299215788443394	0.427172235938933	0.485511629396763
cg08792074	0.648446187111985	0.395506186058468	0.582037209097688	0.382429192321161	0.508338070062757	0.296210009916882
cg19248668	0.803708757208361	0.835676231615975	0.187661361421589	0.346376604605582	0.655720178019667	0.869669028784268
cg24188797	0.246365301486843	0.213020106056143	0.0587689975859778	0.0417167079543181	0.110520229648217	0.0856815400766162
cg07264416	0.917314959721964	0.913922766032903	0.950457691488967	0.876817084891686	0.898895365247337	0.618463563468561
cg01222290	0.774885205795077	0.716212145489959	0.787897995708344	0.809584473847707	0.6932857554795	0.648698587501228
cg16818223	0.890144834462981	0.87069121087129	0.876119114178249	0.795551027012566	0.930185785857538	0.847774294510388
cg23194206	0.803381247378003	0.811494618599653	0.824035046665375	0.87043160426049	0.817204616753824	0.596600126289046
cg09362366	0.443857414487984	0.525449834357337	0.677252420689772	0.542802713835152	0.490691400911816	0.193529805185055
cg17331315	0.0460778931246706	0.0616997282204747	0.0732477136023167	0.0485133881833102	0.0551108904399085	0.0604897430336457
cg26737090	0.860179066037463	0.698869859781578	0.862155270395534	0.429655837997463	0.605065461619083	0.554752851579214
cg16649792	0.674844850857277	0.729017836622186	0.527835449954204	0.843862149396859	0.87167134877747	0.619479826968221
cg17526311	0.8609722767498	0.823556034148596	0.886530502522006	0.721342393953719	0.84341776100207	0.60329415509599
cg10314411	0.903131414325133	0.890450894540135	0.904124852121314	0.891015569849405	0.897851719131299	0.815782286595526
cg23885502	0.894137046066903	0.879907678998782	0.609346914760177	0.848900232737464	0.839287535407325	0.404542244236292
cg25877179	0.0396785083364952	0.0372600922919301	0.0520623441221822	0.0423484654299074	0.0381812588780116	0.0852333047955778
cg04591709	0.883749791955846	0.756264799833919	0.859133127102215	0.832960991341109	0.786649446446379	0.851797056094427
cg11057802	0.315521537737094	0.350308395345818	0.147602516334077	0.559641783781055	0.152539132217978	0.0958475416355643
cg26510500	0.920523333460239	0.939914954587305	0.913033894231836	0.912016910517985	0.936610248383188	0.943097059453758
cg23026595	0.600064069622953	0.664927506690941	0.803987390572377	0.42811565022706	0.586939124325288	0.401154882050362
cg04834289	0.865571196151082	0.878952559777182	0.905982362917354	0.835245606123901	0.851357721374121	0.696989603223801
cg01687997	0.745636481021723	0.834254027088001	0.812158645266687	0.895057536456828	0.804718334589307	0.614634703564513
cg05296869	0.143553279752506	0.0836983637760861	0.0854333324919881	0.117205899684923	0.0891497690813047	0.106560998028478
cg01420492	0.103686577022802	0.234102696606329	0.333782698763272	0.496850759705192	0.121437655789771	0.140333616716299
cg18130079	0.77681909739395	0.890144282809231	0.912202841086236	0.849961401488049	0.83381384353724	0.495057844080116
cg21514951	0.63964225841001	0.81278645427482	0.89994653536192	0.534728315773698	0.612342841118445	0.484098897163746
cg23865187	0.0563438679183022	0.065417679101646	0.0479682896405518	0.0659603278501047	0.0748735349838249	0.105765242188308
cg05511196	0.0963188215683755	0.145427444609397	0.0405384328247979	0.102548821638419	0.0798330694363634	0.0646550587548938
cg11735846	0.363099261933778	0.38290669440013	0.4680687823743	0.562478455216235	0.312537889935523	0.0884252741382964
cg17751228	0.682644297714753	0.85786817478396	0.869975496783585	0.393877882118883	0.437543780836527	0.360611385809278
cg04758330	0.115474167372682	0.159654963806298	0.0474612648364073	0.102597384303292	0.0683065205712461	0.094381299316149
cg01723252	0.462475416077665	0.540743939560357	0.668578044744478	0.319068754986273	0.374575253465052	0.437312145607886
cg04842787	0.798777660573717	0.858098960571719	0.907924202421507	0.722342326993074	0.703645427789809	0.361480969857211
cg25235648	0.712331881774884	0.719452097133375	0.78182223068804	0.770029636708233	0.677789134568261	0.377708968242766
cg22193436	0.246219000980802	0.198942232544789	0.131881183418453	0.0968517828926093	0.275643727110484	0.190332717184904
cg00621197	0.902759118668641	0.863258863555513	0.894452823270286	0.852724051519786	0.901726177813217	0.80919657000894
cg12177942	0.059397200898084	0.0428778132340379	0.0386951752792729	0.0456635981000442	0.0660328166218208	0.0774526828430629
cg23222243	0.68636907956089	0.773297768207775	0.778314294915326	0.288306159462935	0.748207505550001	0.692304079437594
cg16625007	0.90046606816092	0.898360715234869	0.894075695392278	0.892398789004545	0.603358096732947	0.517179659924606
cg14616687	0.714335074700982	0.852941433903826	0.838638451514727	0.754931393376443	0.577297298477983	0.416266024869845
cg20659485	0.736257373595934	0.701233214856508	0.859531887998124	0.308071137097468	0.721704871784213	0.56182199158063
cg10436473	0.528687745252122	0.540072022540294	0.713560374968441	0.603807507524298	0.28614718720427	0.228846102267001
cg00135175	0.88388493343834	0.738054865519538	0.856715559414932	0.892674045998331	0.833850595891429	0.696251312520642
cg02530095	0.585158358376457	0.748345520117726	0.722270730863333	0.684243084093712	0.552499089156022	0.293588323550299
cg24173616	0.718244553556615	0.853555334836506	0.853701614002736	0.545352877261156	0.815893637113574	0.461886989398071
cg00323916	0.108340761421761	0.153540906818955	0.125997965929806	0.0539798868230333	0.096152909251651	0.0813812746182045
cg02747703	0.838808766750866	0.824048716335499	0.857753663764614	0.494261630815469	0.613366776853826	0.677878205647643
cg05666078	0.684724357905389	0.833566480800891	0.601021128955987	0.723309884463138	0.379596969870953	0.598483772828201
cg07104818	0.0709800789381347	0.101292957189966	0.0541146272439216	0.0466817970991462	0.0499880771367552	0.0710180173408694
cg25481439	0.716609857180459	0.779415324098248	0.761848223268371	0.596600507323813	0.646691775708102	0.679541203980064
cg24760717	0.498950653399772	0.446366924071496	0.822786551739174	0.362504586682672	0.631670899002625	0.673079085241915
cg21380842	0.073742110795041	0.0616681553624939	0.0630917875594722	0.047593173793748	0.051265060876417	0.0820587021752639
cg12039595	0.659171677021	0.701099374124343	0.842857675071568	0.711804558493471	0.751329737886712	0.65042806954456
cg18949044	0.791801540110074	0.796597722210686	0.905724289183397	0.787035476158313	0.746953598175768	0.473000472741168
cg11766129	0.678313300376874	0.785033498963724	0.468351324245907	0.607038714362923	0.603297610001084	0.596232525793535
cg17484733	0.106317747722433	0.228198816461368	0.106569241309929	0.610587076965624	0.782128161539648	0.0948371779142657
cg08657391	0.375955145741719	0.457237279926778	0.687623099983889	0.294749344308179	0.500030092841065	0.444325205209267
cg00588047	0.420375122106402	0.441770262678776	0.571036546034506	0.454211016821023	0.296250373171293	0.184621030027246
cg00602891	0.0812353391360324	0.0854251960311273	0.0499186411756899	0.0868657663872561	0.0997381248112186	0.105500320843629
cg08095423	0.882276149055334	0.894965956884951	0.900261528598202	0.891810921444416	0.85279842255173	0.764979407055292
cg23235067	0.789428895988925	0.743033292001253	0.754601011075947	0.279892147670532	0.748473026613932	0.746599388714109
cg03077789	0.0570480894538684	0.0512008597109399	0.0800498069521376	0.0453755144803434	0.0727226680726236	0.0809637066869267
